band_id_left,band_id_right,mean_difference_valid,std_difference_valid,rms_difference_valid,median_abs_difference_valid
4,5,-0.004012179999999987,0.012620638955599651,0.013243040285372482,0.010199999999999999
5,6,0.024138320000000088,0.010396864314667175,0.02628218560165802,0.0226
6,7,0.030704860000000066,0.008826320206088208,0.03194827626023046,0.0296
7,8,0.01225916000000002,0.010400780552170138,0.016076791968549047,0.011000000000000003
8,9,0.00835628000000003,0.005329132064567378,0.009910956765116103,0.007800000000000001
9,10,0.004446980000000007,0.003687878099883466,0.005777203129542868,0.004199999999999995
10,11,0.002753159999999986,0.002941026693928512,0.0040285888348154985,0.002800000000000004
11,12,0.0025399199999999868,0.0023398406769692213,0.003453411067336196,0.002599999999999991
12,13,0.0044953,0.00266751905522712,0.005227177058413117,0.004400000000000001
13,14,0.0049609600000000255,0.0025689382784333296,0.00558664192516398,0.004799999999999999
14,15,0.005365260000000027,0.0021914500068219685,0.005795555883605974,0.005200000000000003
15,16,0.008470500000000054,0.002626148843839611,0.008868259581225653,0.008200000000000013
16,17,0.009065840000000049,0.004021056713651267,0.009917577930119789,0.00839999999999999
17,18,0.007034560000000065,0.003022402621491716,0.007656366762374981,0.0066000000000000225
18,19,0.005159080000000058,0.002102567371952663,0.005571076736143533,0.0049999999999999906
19,20,0.004012480000000027,0.0020088793516784037,0.0044872699941055656,0.003999999999999976
20,21,0.0003714799999999967,0.0039110278201005344,0.003928630295662856,0.0032000000000000084
21,22,-0.0021515200000000023,0.0044246357691453235,0.004920004065039022,0.002799999999999969
22,23,-0.0029447399999999783,0.0034095639504780626,0.004505177022049226,0.003799999999999998
23,24,-0.004927659999999991,0.006816304785175033,0.008410935976453511,0.002800000000000011
24,25,-0.004599180000000035,0.006703445929341028,0.008129492235066092,0.002799999999999997
25,26,-0.0014950600000000437,0.0026590644212579886,0.003050545524984029,0.002599999999999991
26,27,-0.0007276799999999995,0.0027017790097637615,0.0027980578978999263,0.0022000000000000075
27,28,-0.0007235999999999969,0.00261764379547723,0.002715815899504265,0.0020000000000000018
28,29,-0.0021724199999999757,0.0026225124105712103,0.0034054338930597366,0.0030000000000000027
29,30,-0.002946580000000024,0.003424150449907337,0.0045174262583909655,0.003599999999999999
30,31,-0.0027742799999999454,0.003469376093997317,0.00444220665885779,0.003600000000000006
31,32,-0.0004061199999999893,0.002846082666684162,0.0028749121725715737,0.0021999999999999936
32,33,0.0016769200000000064,0.004246844865732689,0.004565933858478477,0.0034000000000000002
33,34,0.0005088200000000011,0.003316457478635942,0.0033552627318885224,0.0020000000000000018
34,35,0.002662479999999989,0.0042864503087752985,0.005046033689939078,0.0038000000000000117
35,36,0.009334119999999956,0.012252641993692836,0.015403020223319814,0.014000000000000012
36,37,0.02215787999999998,0.027431304342039886,0.035262559521396085,0.0254
37,38,0.02685323999999988,0.03435950973897007,0.043608169051222376,0.027200000000000002
38,39,0.028074119999999987,0.03650757688789518,0.04605387479897865,0.028199999999999975
39,40,0.02437697999999993,0.03264294034059443,0.04074062724112126,0.020799999999999985
